Numero Esecuzione,Numero Thread,File di Input,Tempo di Esecuzione (s),Eseguibile
6,10,data/numbers_1000.txt,28.6471,fft_og.exe
7,10,data/numbers_1000.txt,28.7939,fft_og.exe
8,10,data/numbers_1000.txt,29.3525,fft_og.exe
9,10,data/numbers_1000.txt,28.4966,fft_og.exe
10,10,data/numbers_1000.txt,27.8894,fft_og.exe
1,11,data/numbers_1000.txt,21.9280,fft_og.exe
2,11,data/numbers_1000.txt,20.6316,fft_og.exe
3,11,data/numbers_1000.txt,20.6266,fft_og.exe
4,11,data/numbers_1000.txt,21.1021,fft_og.exe
5,11,data/numbers_1000.txt,19.7252,fft_og.exe
6,11,data/numbers_1000.txt,19.4188,fft_og.exe
7,11,data/numbers_1000.txt,20.8047,fft_og.exe
8,11,data/numbers_1000.txt,20.2136,fft_og.exe
9,11,data/numbers_1000.txt,20.7707,fft_og.exe
10,11,data/numbers_1000.txt,20.1759,fft_og.exe
1,12,data/numbers_1000.txt,21.7011,fft_og.exe
2,12,data/numbers_1000.txt,20.4170,fft_og.exe
3,12,data/numbers_1000.txt,19.7665,fft_og.exe
4,12,data/numbers_1000.txt,20.2360,fft_og.exe
5,12,data/numbers_1000.txt,20.2895,fft_og.exe
6,12,data/numbers_1000.txt,20.2682,fft_og.exe
7,12,data/numbers_1000.txt,20.4148,fft_og.exe
8,12,data/numbers_1000.txt,20.6027,fft_og.exe
9,12,data/numbers_1000.txt,21.1365,fft_og.exe
10,12,data/numbers_1000.txt,20.2116,fft_og.exe
1,13,data/numbers_1000.txt,22.1820,fft_og.exe
2,13,data/numbers_1000.txt,21.3627,fft_og.exe
3,13,data/numbers_1000.txt,20.5199,fft_og.exe
4,13,data/numbers_1000.txt,21.9363,fft_og.exe
5,13,data/numbers_1000.txt,20.5041,fft_og.exe
6,13,data/numbers_1000.txt,20.7285,fft_og.exe
7,13,data/numbers_1000.txt,21.3749,fft_og.exe
8,13,data/numbers_1000.txt,33.5390,fft_og.exe
9,13,data/numbers_1000.txt,25.9233,fft_og.exe
10,13,data/numbers_1000.txt,21.3571,fft_og.exe
1,14,data/numbers_1000.txt,24.9307,fft_og.exe
2,14,data/numbers_1000.txt,21.0287,fft_og.exe
3,14,data/numbers_1000.txt,20.7021,fft_og.exe
4,14,data/numbers_1000.txt,20.5298,fft_og.exe
5,14,data/numbers_1000.txt,20.5598,fft_og.exe
6,14,data/numbers_1000.txt,21.6613,fft_og.exe
7,14,data/numbers_1000.txt,22.3846,fft_og.exe
8,14,data/numbers_1000.txt,21.2558,fft_og.exe
9,14,data/numbers_1000.txt,19.8833,fft_og.exe
10,14,data/numbers_1000.txt,21.4897,fft_og.exe
1,15,data/numbers_1000.txt,30.7907,fft_og.exe
2,15,data/numbers_1000.txt,29.7000,fft_og.exe
3,15,data/numbers_1000.txt,29.3644,fft_og.exe
4,15,data/numbers_1000.txt,29.8241,fft_og.exe
5,15,data/numbers_1000.txt,30.3520,fft_og.exe
6,15,data/numbers_1000.txt,28.6759,fft_og.exe
7,15,data/numbers_1000.txt,28.7559,fft_og.exe
8,15,data/numbers_1000.txt,29.5600,fft_og.exe
9,15,data/numbers_1000.txt,29.8957,fft_og.exe
10,15,data/numbers_1000.txt,21.8196,fft_og.exe
1,1,data/numbers_10000.txt,3362.1508,fft_og.exe
2,1,data/numbers_10000.txt,3382.9516,fft_og.exe
3,1,data/numbers_10000.txt,3294.8186,fft_og.exe
4,1,data/numbers_10000.txt,3312.5526,fft_og.exe
5,1,data/numbers_10000.txt,3288.0673,fft_og.exe
6,1,data/numbers_10000.txt,3284.7874,fft_og.exe
7,1,data/numbers_10000.txt,3290.1313,fft_og.exe
8,1,data/numbers_10000.txt,3305.3466,fft_og.exe
9,1,data/numbers_10000.txt,3320.2807,fft_og.exe
10,1,data/numbers_10000.txt,3283.9256,fft_og.exe
1,2,data/numbers_10000.txt,1814.8039,fft_og.exe
2,2,data/numbers_10000.txt,1771.4854,fft_og.exe
3,2,data/numbers_10000.txt,1768.9917,fft_og.exe
4,2,data/numbers_10000.txt,1748.5602,fft_og.exe
5,2,data/numbers_10000.txt,1721.9992,fft_og.exe
6,2,data/numbers_10000.txt,1727.0904,fft_og.exe
7,2,data/numbers_10000.txt,1733.3848,fft_og.exe
8,2,data/numbers_10000.txt,1724.8066,fft_og.exe
9,2,data/numbers_10000.txt,1733.5975,fft_og.exe
10,2,data/numbers_10000.txt,1709.4280,fft_og.exe
1,3,data/numbers_10000.txt,1193.9048,fft_og.exe
2,3,data/numbers_10000.txt,1221.9073,fft_og.exe
3,3,data/numbers_10000.txt,1213.7622,fft_og.exe
4,3,data/numbers_10000.txt,1212.6550,fft_og.exe
5,3,data/numbers_10000.txt,1214.0496,fft_og.exe
6,3,data/numbers_10000.txt,1201.4289,fft_og.exe
7,3,data/numbers_10000.txt,1187.2733,fft_og.exe
8,3,data/numbers_10000.txt,1216.2381,fft_og.exe
9,3,data/numbers_10000.txt,1182.4961,fft_og.exe
10,3,data/numbers_10000.txt,1215.1515,fft_og.exe
1,4,data/numbers_10000.txt,938.5033,fft_og.exe
2,4,data/numbers_10000.txt,929.1834,fft_og.exe
3,4,data/numbers_10000.txt,915.3823,fft_og.exe
4,4,data/numbers_10000.txt,921.9806,fft_og.exe
5,4,data/numbers_10000.txt,920.1921,fft_og.exe
6,4,data/numbers_10000.txt,920.2144,fft_og.exe
7,4,data/numbers_10000.txt,934.3943,fft_og.exe
8,4,data/numbers_10000.txt,922.8744,fft_og.exe
9,4,data/numbers_10000.txt,907.9878,fft_og.exe
10,4,data/numbers_10000.txt,949.5760,fft_og.exe
1,5,data/numbers_10000.txt,774.9862,fft_og.exe
2,5,data/numbers_10000.txt,810.3240,fft_og.exe
3,5,data/numbers_10000.txt,790.1672,fft_og.exe
4,5,data/numbers_10000.txt,776.2467,fft_og.exe
5,5,data/numbers_10000.txt,812.4005,fft_og.exe
6,5,data/numbers_10000.txt,785.8475,fft_og.exe
7,5,data/numbers_10000.txt,774.8148,fft_og.exe
8,5,data/numbers_10000.txt,762.4278,fft_og.exe
9,5,data/numbers_10000.txt,785.3679,fft_og.exe
10,5,data/numbers_10000.txt,760.9284,fft_og.exe
1,6,data/numbers_10000.txt,697.9529,fft_og.exe
2,6,data/numbers_10000.txt,692.3215,fft_og.exe
3,6,data/numbers_10000.txt,664.6935,fft_og.exe
4,6,data/numbers_10000.txt,648.5738,fft_og.exe
5,6,data/numbers_10000.txt,682.9258,fft_og.exe
6,6,data/numbers_10000.txt,689.5337,fft_og.exe
7,6,data/numbers_10000.txt,667.5272,fft_og.exe
8,6,data/numbers_10000.txt,669.2850,fft_og.exe
9,6,data/numbers_10000.txt,679.9638,fft_og.exe
10,6,data/numbers_10000.txt,662.3787,fft_og.exe
1,7,data/numbers_10000.txt,665.3186,fft_og.exe
2,7,data/numbers_10000.txt,657.5851,fft_og.exe
3,7,data/numbers_10000.txt,658.2936,fft_og.exe
4,7,data/numbers_10000.txt,641.3427,fft_og.exe
5,7,data/numbers_10000.txt,661.7721,fft_og.exe
6,7,data/numbers_10000.txt,654.0886,fft_og.exe
