Numero Thread,File di Input,Media Tempo di Esecuzione (ms),Eseguibile
20,data/numbers_16384.txt,792.3573,OMP_DFT_NOpolar.exe
1,data/numbers_131072.txt,648.3265,OMP_DFT_polar.exe
1,data/numbers_131072.txt,249496.9739,OMP_DFT_NOpolar.exe
2,data/numbers_131072.txt,645.0701,OMP_DFT_polar.exe
2,data/numbers_131072.txt,239158.8047,OMP_DFT_NOpolar.exe
3,data/numbers_131072.txt,652.2666,OMP_DFT_polar.exe
3,data/numbers_131072.txt,118269.7145,OMP_DFT_NOpolar.exe
4,data/numbers_131072.txt,664.2239,OMP_DFT_polar.exe
4,data/numbers_131072.txt,99494.3187,OMP_DFT_NOpolar.exe
5,data/numbers_131072.txt,656.3420,OMP_DFT_polar.exe
5,data/numbers_131072.txt,87999.4938,OMP_DFT_NOpolar.exe
6,data/numbers_131072.txt,656.7646,OMP_DFT_polar.exe
6,data/numbers_131072.txt,81957.4070,OMP_DFT_NOpolar.exe
7,data/numbers_131072.txt,660.3812,OMP_DFT_polar.exe
7,data/numbers_131072.txt,78357.8387,OMP_DFT_NOpolar.exe
8,data/numbers_131072.txt,661.1576,OMP_DFT_polar.exe
8,data/numbers_131072.txt,75606.2343,OMP_DFT_NOpolar.exe
9,data/numbers_131072.txt,661.1256,OMP_DFT_polar.exe
9,data/numbers_131072.txt,73154.4398,OMP_DFT_NOpolar.exe
10,data/numbers_131072.txt,659.8914,OMP_DFT_polar.exe
10,data/numbers_131072.txt,70482.2451,OMP_DFT_NOpolar.exe
11,data/numbers_131072.txt,654.6475,OMP_DFT_polar.exe
11,data/numbers_131072.txt,69385.9922,OMP_DFT_NOpolar.exe
12,data/numbers_131072.txt,662.2006,OMP_DFT_polar.exe
12,data/numbers_131072.txt,68374.4478,OMP_DFT_NOpolar.exe
13,data/numbers_131072.txt,677.7898,OMP_DFT_polar.exe
13,data/numbers_131072.txt,66981.7166,OMP_DFT_NOpolar.exe
14,data/numbers_131072.txt,674.7948,OMP_DFT_polar.exe
14,data/numbers_131072.txt,65939.6322,OMP_DFT_NOpolar.exe
15,data/numbers_131072.txt,660.6955,OMP_DFT_polar.exe
15,data/numbers_131072.txt,64874.5043,OMP_DFT_NOpolar.exe
16,data/numbers_131072.txt,694.8932,OMP_DFT_polar.exe
16,data/numbers_131072.txt,64291.5016,OMP_DFT_NOpolar.exe
17,data/numbers_131072.txt,667.1531,OMP_DFT_polar.exe
17,data/numbers_131072.txt,63635.8628,OMP_DFT_NOpolar.exe
18,data/numbers_131072.txt,673.3901,OMP_DFT_polar.exe
18,data/numbers_131072.txt,62959.6116,OMP_DFT_NOpolar.exe
19,data/numbers_131072.txt,660.6550,OMP_DFT_polar.exe
19,data/numbers_131072.txt,61592.5670,OMP_DFT_NOpolar.exe
20,data/numbers_131072.txt,686.9975,OMP_DFT_polar.exe
20,data/numbers_131072.txt,60694.5591,OMP_DFT_NOpolar.exe
1,data/numbers_262144.txt,1297.6155,OMP_DFT_polar.exe
1,data/numbers_262144.txt,1043858.5726,OMP_DFT_NOpolar.exe
2,data/numbers_262144.txt,1745.8501,OMP_DFT_polar.exe
2,data/numbers_262144.txt,629378.7973,OMP_DFT_NOpolar.exe
3,data/numbers_262144.txt,1257.2251,OMP_DFT_polar.exe
3,data/numbers_262144.txt,470873.3690,OMP_DFT_NOpolar.exe
4,data/numbers_262144.txt,1254.5957,OMP_DFT_polar.exe
4,data/numbers_262144.txt,444051.7768,OMP_DFT_NOpolar.exe
5,data/numbers_262144.txt,1261.4998,OMP_DFT_polar.exe
5,data/numbers_262144.txt,352399.2908,OMP_DFT_NOpolar.exe
6,data/numbers_262144.txt,1264.7992,OMP_DFT_polar.exe
6,data/numbers_262144.txt,325317.5250,OMP_DFT_NOpolar.exe
7,data/numbers_262144.txt,1303.5699,OMP_DFT_polar.exe

