Num Threads,Input File,Executable,Avg Execution Time (ms)
17,numbers_16384.txt,OMP_DFT_optimized.exe,295217.8292
17,numbers_16384.txt,OMP_DFT_vanilla.exe,3620.9453
17,numbers_262144.txt,OMP_DFT_optimized.exe,46305.6771
17,numbers_262144.txt,OMP_DFT_vanilla.exe,69.0
18,numbers_1024.txt,OMP_DFT_optimized.exe,180802.822
18,numbers_1024.txt,OMP_DFT_vanilla.exe,15829.0
18,numbers_1048576.txt,OMP_FFT.exe,30.3503
18,numbers_131072.txt,OMP_DFT_optimized.exe,984437.6456
18,numbers_131072.txt,OMP_DFT_vanilla.exe,593.6997
18,numbers_134217728.txt,OMP_FFT.exe,47.8712
18,numbers_16384.txt,OMP_DFT_optimized.exe,281668.5481
18,numbers_16384.txt,OMP_DFT_vanilla.exe,3469.0501
18,numbers_262144.txt,OMP_DFT_optimized.exe,45378.7373
18,numbers_262144.txt,OMP_DFT_vanilla.exe,68.0
19,numbers_1024.txt,OMP_DFT_optimized.exe,178435.2056
19,numbers_1024.txt,OMP_DFT_vanilla.exe,15760.0
19,numbers_1048576.txt,OMP_FFT.exe,30.0712
19,numbers_131072.txt,OMP_DFT_optimized.exe,948514.0495
19,numbers_131072.txt,OMP_DFT_vanilla.exe,575.2133
19,numbers_134217728.txt,OMP_FFT.exe,47.7585
19,numbers_16384.txt,OMP_DFT_optimized.exe,276687.275
19,numbers_16384.txt,OMP_DFT_vanilla.exe,3428.7002
19,numbers_262144.txt,OMP_DFT_optimized.exe,45260.1628
19,numbers_262144.txt,OMP_DFT_vanilla.exe,65.0
2,numbers_1024.txt,OMP_DFT_optimized.exe,249540.1724
2,numbers_1024.txt,OMP_DFT_vanilla.exe,35518.0
2,numbers_1048576.txt,OMP_FFT.exe,40.3146
2,numbers_131072.txt,OMP_DFT_optimized.exe,3381587.6246
2,numbers_131072.txt,OMP_DFT_vanilla.exe,1885.0012
2,numbers_134217728.txt,OMP_FFT.exe,62.0
2,numbers_16384.txt,OMP_DFT_optimized.exe,888502.2377
2,numbers_16384.txt,OMP_DFT_vanilla.exe,13385.1747
2,numbers_262144.txt,OMP_DFT_optimized.exe,119149.2431
2,numbers_262144.txt,OMP_DFT_vanilla.exe,295.0
20,numbers_1024.txt,OMP_DFT_optimized.exe,176022.8256
20,numbers_1024.txt,OMP_DFT_vanilla.exe,15624.0
20,numbers_1048576.txt,OMP_FFT.exe,30.0187
20,numbers_131072.txt,OMP_DFT_optimized.exe,947656.0973
20,numbers_131072.txt,OMP_DFT_vanilla.exe,574.5966
20,numbers_134217728.txt,OMP_FFT.exe,44.9759
20,numbers_16384.txt,OMP_DFT_optimized.exe,268516.7607
20,numbers_16384.txt,OMP_DFT_vanilla.exe,3310.5887
20,numbers_262144.txt,OMP_DFT_optimized.exe,44329.5104
20,numbers_262144.txt,OMP_DFT_vanilla.exe,63.0
3,numbers_1024.txt,OMP_DFT_optimized.exe,246908.4213
3,numbers_1024.txt,OMP_DFT_vanilla.exe,29080.0
3,numbers_1048576.txt,OMP_FFT.exe,36.8025
3,numbers_131072.txt,OMP_DFT_optimized.exe,2363014.0393
3,numbers_131072.txt,OMP_DFT_vanilla.exe,1289.8679
3,numbers_134217728.txt,OMP_FFT.exe,61.0
3,numbers_16384.txt,OMP_DFT_optimized.exe,849032.9542
3,numbers_16384.txt,OMP_DFT_vanilla.exe,9094.9721
3,numbers_262144.txt,OMP_DFT_optimized.exe,91412.713
3,numbers_262144.txt,OMP_DFT_vanilla.exe,165.0
4,numbers_1024.txt,OMP_DFT_optimized.exe,238545.2693
4,numbers_1024.txt,OMP_DFT_vanilla.exe,24410.0
4,numbers_1048576.txt,OMP_FFT.exe,36.4838
4,numbers_131072.txt,OMP_DFT_optimized.exe,1899556.5558
4,numbers_131072.txt,OMP_DFT_vanilla.exe,1014.3872
4,numbers_134217728.txt,OMP_FFT.exe,61.0
4,numbers_16384.txt,OMP_DFT_optimized.exe,584375.9895
4,numbers_16384.txt,OMP_DFT_vanilla.exe,6783.6376
4,numbers_262144.txt,OMP_DFT_optimized.exe,78847.9337
4,numbers_262144.txt,OMP_DFT_vanilla.exe,119.0
5,numbers_1024.txt,OMP_DFT_optimized.exe,238166.1637
5,numbers_1024.txt,OMP_DFT_vanilla.exe,23386.1663
5,numbers_1048576.txt,OMP_FFT.exe,35.8766
5,numbers_131072.txt,OMP_DFT_optimized.exe,1766440.4651
