Threads per Block,Input File,Executable,Avg Execution Time (ms)
64,numbers_1024.txt,CUDA_dft.exe,2.699136
64,numbers_1024.txt,CUDA_fft.exe,0.67941015
64,numbers_1048576.txt,CUDA_FFT_NOE.exe,8.190117
64,numbers_1048576.txt,CUDA_FLAVIO_fft1.exe,30.9
64,numbers_1048576.txt,CUDA_fft.exe,24.012504999999997
64,numbers_131072.txt,CUDA_FFT_NOE.exe,1.553163
64,numbers_131072.txt,CUDA_dft.exe,16069.320000000002
64,numbers_131072.txt,CUDA_fft.exe,3.4446120000000002
64,numbers_134217728.txt,CUDA_FFT_NOE.exe,864.0350000000001
64,numbers_134217728.txt,CUDA_FLAVIO_fft1.exe,3196.9
64,numbers_134217728.txt,CUDA_fft.exe,3062.7560000000003
64,numbers_16384.txt,CUDA_FFT_NOE.exe,0.37929599999999997
64,numbers_16384.txt,CUDA_dft.exe,254.99030000000002
64,numbers_16384.txt,CUDA_fft.exe,1.0860736
64,numbers_16777216.txt,CUDA_fft.exe,400.1049
64,numbers_2097152.txt,CUDA_fft.exe,51.065
64,numbers_262144.txt,CUDA_FFT_NOE.exe,2.254525
64,numbers_262144.txt,CUDA_dft.exe,64373.219999999994
64,numbers_262144.txt,CUDA_fft.exe,6.1243110000000005
64,numbers_4194304.txt,CUDA_fft.exe,97.09085999999999
64,numbers_8388608.txt,CUDA_fft.exe,197.1945
