Num Execution,Num Threads,Input File,Execution Time (ms),Executable
1,7,data/numbers_1024.txt,47.7585,OMP_DFT_vanilla.exe
1,8,data/numbers_1024.txt,50.2746,OMP_DFT_vanilla.exe
1,9,data/numbers_1024.txt,47.8712,OMP_DFT_vanilla.exe
1,10,data/numbers_1024.txt,53.5297,OMP_DFT_vanilla.exe
1,11,data/numbers_1024.txt,57.6028,OMP_DFT_vanilla.exe
1,12,data/numbers_1024.txt,94.5029,OMP_DFT_vanilla.exe
1,13,data/numbers_1024.txt,48.7968,OMP_DFT_vanilla.exe
1,14,data/numbers_1024.txt,74.5898,OMP_DFT_vanilla.exe
1,15,data/numbers_1024.txt,44.2524,OMP_DFT_vanilla.exe
1,16,data/numbers_1024.txt,49.0894,OMP_DFT_vanilla.exe
1,17,data/numbers_1024.txt,54.3724,OMP_DFT_vanilla.exe
1,18,data/numbers_1024.txt,53.7464,OMP_DFT_vanilla.exe
1,19,data/numbers_1024.txt,53.5353,OMP_DFT_vanilla.exe
1,20,data/numbers_1024.txt,82.3950,OMP_DFT_vanilla.exe
1,1,data/numbers_16384.txt,23386.1663,OMP_DFT_vanilla.exe
1,2,data/numbers_16384.txt,13385.1747,OMP_DFT_vanilla.exe
1,3,data/numbers_16384.txt,9094.9721,OMP_DFT_vanilla.exe
1,4,data/numbers_16384.txt,6783.6376,OMP_DFT_vanilla.exe
1,5,data/numbers_16384.txt,5880.0366,OMP_DFT_vanilla.exe
1,6,data/numbers_16384.txt,5185.8439,OMP_DFT_vanilla.exe
1,7,data/numbers_16384.txt,4798.7984,OMP_DFT_vanilla.exe
1,8,data/numbers_16384.txt,4551.0668,OMP_DFT_vanilla.exe
1,9,data/numbers_16384.txt,4321.2106,OMP_DFT_vanilla.exe
1,10,data/numbers_16384.txt,4173.8347,OMP_DFT_vanilla.exe
1,11,data/numbers_16384.txt,4029.5408,OMP_DFT_vanilla.exe
1,12,data/numbers_16384.txt,3915.0305,OMP_DFT_vanilla.exe
1,13,data/numbers_16384.txt,3774.8178,OMP_DFT_vanilla.exe
1,14,data/numbers_16384.txt,3620.9453,OMP_DFT_vanilla.exe
1,15,data/numbers_16384.txt,3469.0501,OMP_DFT_vanilla.exe
1,16,data/numbers_16384.txt,3310.5887,OMP_DFT_vanilla.exe
1,17,data/numbers_16384.txt,3172.8088,OMP_DFT_vanilla.exe
1,18,data/numbers_16384.txt,3428.7002,OMP_DFT_vanilla.exe
1,19,data/numbers_16384.txt,3811.1901,OMP_DFT_vanilla.exe
