Threads per Block,Input File,Executable,Avg Execution Time (ms),Avg Kernel Time (ms),Avg Transfer Time (ms)
32,numbers_4194304.txt,CUDA_fft_v01.exe,64.28853000000001,43.31164,20.9769
32,numbers_4194304.txt,CUDA_fft_v02.exe,17.42254,6.636151,10.786368999999999
32,numbers_4194304.txt,CUDA_fft_v03.exe,11.957170000000001,1.378042,10.579122000000002
32,numbers_67108864.txt,CUDA_fft_v01.exe,1093.75097,758.9063199999999,334.84461999999996
32,numbers_67108864.txt,CUDA_fft_v02.exe,337.0584,102.8059,234.25223
32,numbers_67108864.txt,CUDA_fft_v03.exe,183.48700000000002,19.05184,164.43503
32,numbers_8388608.txt,CUDA_fft_v01.exe,128.6557,86.74244999999999,41.91326
32,numbers_8388608.txt,CUDA_fft_v02.exe,33.7609,12.893510000000001,20.867420000000003
32,numbers_8388608.txt,CUDA_fft_v03.exe,23.555500000000002,2.686738,20.86876
512,numbers_134217728.txt,CUDA_fft_v01.exe,2265.1528399999997,1585.6353100000001,679.51759
512,numbers_134217728.txt,CUDA_fft_v03.exe,375.1793,35.35656,339.8227
512,numbers_16777216.txt,CUDA_fft_v01.exe,264.03137000000004,181.64025999999998,82.39108999999999
512,numbers_16777216.txt,CUDA_fft_v03.exe,46.17806,4.860615,41.31745
512,numbers_2097152.txt,CUDA_fft_v01.exe,33.30272,22.67091,10.63179
512,numbers_2097152.txt,CUDA_fft_v03.exe,6.0906590000000005,0.7100960000000001,5.380564000000001
512,numbers_33554432.txt,CUDA_fft_v01.exe,533.1249399999999,368.7981,164.32682
512,numbers_33554432.txt,CUDA_fft_v03.exe,90.9275,8.603812999999999,82.3237
512,numbers_4194304.txt,CUDA_fft_v01.exe,65.61119,44.44239,21.16878
512,numbers_4194304.txt,CUDA_fft_v03.exe,11.993120000000001,1.372358,10.620773
512,numbers_67108864.txt,CUDA_fft_v01.exe,1093.04386,763.82246,329.22138
512,numbers_67108864.txt,CUDA_fft_v03.exe,181.91320000000002,17.42826,164.48483
512,numbers_8388608.txt,CUDA_fft_v01.exe,128.62591,87.20002,41.4259
512,numbers_8388608.txt,CUDA_fft_v03.exe,23.33935,2.4657340000000003,20.87361
